commune,surface_m2,nbr_chambres,etage,type_logement,distance_centre_km,annee_construction,etat,parking,gardiennage,prix_fcfa
Yopougon,48,3,4,Appartement,31.8,1999,Bon état,0,0,6900000
Treichville,49,3,1,Appartement,5.8,2022,Bon état,1,0,10800000
Adjamé,66,2,3,Appartement,21.0,1985,Bon état,1,0,10900000
Abobo,89,1,1,Appartement,4.2,2015,Bon état,1,0,9900000
Plateau,116,2,0,Villa,40.0,2000,Bon état,1,1,46700000
Plateau,49,2,1,Studio,6.9,2014,Bon état,1,1,20900000
Cocody,155,3,2,Duplex,0.5,2015,Bon état,1,0,53300000
Port-Bouet,64,1,4,Appartement,7.1,1987,Bon état,0,0,10900000
Abobo,73,3,3,Villa,2.6,1983,Neuf,1,0,7100000
Adjamé,51,4,0,Duplex,0.5,2022,À rénover,1,0,9600000
Cocody,22,2,0,Appartement,13.8,1995,Bon état,1,1,7100000
Treichville,115,2,0,Villa,2.6,1982,Bon état,1,1,26200000
Koumassi,107,1,4,Studio,12.7,1986,Bon état,1,1,13400000
Marcory,64,3,3,Appartement,2.7,1981,À rénover,1,1,13400000
Plateau,76,3,3,Studio,1.7,1980,Bon état,0,0,28200000
Plateau,95,2,1,Studio,29.2,1980,Bon état,1,0,38800000
Marcory,34,3,1,Appartement,3.6,2017,À rénover,0,1,9100000
Abobo,57,4,1,Appartement,7.4,1986,Bon état,0,1,7300000
Yopougon,110,2,0,Appartement,7.5,2003,Neuf,0,0,17500000
Marcory,39,1,1,Appartement,6.6,1984,Neuf,0,0,7900000
Abobo,85,4,0,Villa,19.7,2000,Bon état,0,1,11400000
Plateau,37,3,0,Villa,9.0,2007,À rénover,1,0,14500000
Marcory,93,4,3,Appartement,4.1,1997,Bon état,1,1,25600000
Yopougon,72,3,3,Duplex,15.9,2003,Bon état,0,1,11400000
Yopougon,33,4,1,Appartement,1.6,2011,Bon état,1,0,7100000
Koumassi,132,2,1,Appartement,6.3,2012,Bon état,0,1,17400000
Plateau,51,3,1,Appartement,24.1,1989,Bon état,0,1,22300000
Abobo,49,4,2,Villa,7.9,1988,Neuf,1,1,6200000
