date,annee,mois,prix_tonne_usd,prix_tonne_fcfa,production_tonnes,exportation_tonnes,pluviometrie_mm
2010-01-01,2010,1,802.65,484000,1992000,1620000,1482
2010-02-01,2010,2,807.69,491000,2068000,1768000,1087
2010-03-01,2010,3,903.13,542000,2147000,1608000,1631
2010-04-01,2010,4,1016.31,625000,2321000,1483000,1354
2010-05-01,2010,5,1008.22,602000,2229000,1505000,1269
2010-06-01,2010,6,1060.52,665000,2076000,1706000,1662
2010-07-01,2010,7,1164.67,706000,2097000,1731000,1224
2010-08-01,2010,8,1117.65,661000,1950000,1591000,1048
2010-09-01,2010,9,1023.78,603000,2097000,1777000,1011
2010-10-01,2010,10,1015.85,614000,2057000,1501000,1552
2010-11-01,2010,11,918.12,549000,2148000,1692000,1080
2010-12-01,2010,12,882.24,536000,1976000,1555000,1839
2011-01-01,2011,1,905.87,548000,2181000,1622000,880
2011-02-01,2011,2,831.37,498000,2333000,1706000,1824
2011-03-01,2011,3,887.62,525000,2087000,1597000,1453
2011-04-01,2011,4,1000.45,585000,2163000,1654000,1376
2011-05-01,2011,5,1037.15,618000,2207000,1821000,1264
2011-06-01,2011,6,1134.65,691000,2043000,1631000,1500
2011-07-01,2011,7,1087.43,655000,2137000,1800000,1391
2011-08-01,2011,8,1039.48,611000,2105000,1564000,1676
2011-09-01,2011,9,1116.26,672000,2118000,1764000,1429
2011-10-01,2011,10,972.66,587000,1987000,1873000,1438
2011-11-01,2011,11,920.13,544000,2107000,1403000,1309
2011-12-01,2011,12,804.9,484000,2178000,1604000,1386
2012-01-01,2012,1,825.17,496000,2324000,1769000,1477
2012-02-01,2012,2,867.39,511000,2250000,1676000,972
2012-03-01,2012,3,850.15,513000,2430000,1745000,1063
2012-04-01,2012,4,972.81,589000,1991000,1628000,1586
2012-05-01,2012,5,981.1,599000,2237000,1710000,1443
2012-06-01,2012,6,1029.89,629000,2134000,1681000,1354
2012-07-01,2012,7,1022.76,600000,2435000,1840000,1405
2012-08-01,2012,8,1108.9,655000,1984000,1731000,1487
2012-09-01,2012,9,975.09,590000,1980000,1741000,1265
2012-10-01,2012,10,865.38,524000,2016000,1651000,1205
