id_client,region,age,genre,niveau_education,activite,revenu_mensuel_ghs,montant_credit_ghs,duree_mois,historique_remboursement,zone_rurale,nbr_dependants,garantie_type,defaut_paiement
GH000000,Eastern,58,M,Secondaire,Transport,3050,3400,18,Bon,0,3,Épargne,0
GH000001,Northern,48,M,Primaire,Artisanat,2440,1700,12,Bon,0,6,Épargne,0
GH000002,Volta,34,M,Aucun,Pêche,3920,1400,12,Bon,1,0,Bien immobilier,0
GH000003,Volta,62,F,Secondaire,Transport,590,1300,18,Excellent,1,6,Épargne,1
GH000004,Greater Accra,27,F,Superieur,Commerce,840,1700,24,Moyen,1,4,Épargne,0
GH000005,Northern,40,M,Aucun,Services,200,1200,24,Excellent,0,5,Épargne,1
GH000006,Greater Accra,58,F,Superieur,Pêche,2170,3300,12,Bon,1,6,Bien immobilier,0
GH000007,Ashanti,38,F,Primaire,Artisanat,260,1300,18,Bon,0,4,Garant,0
GH000008,Greater Accra,42,M,Superieur,Services,790,7600,18,Excellent,0,4,Bien immobilier,0
GH000009,Volta,30,F,Secondaire,Commerce,280,6800,12,Excellent,1,3,Épargne,1
GH000010,Ashanti,30,F,Superieur,Services,420,800,12,Bon,0,1,Aucune,0
GH000011,Ashanti,43,F,Secondaire,Transport,340,1900,12,Excellent,1,1,Épargne,0
GH000012,Greater Accra,55,F,Aucun,Artisanat,410,1000,18,Bon,1,4,Épargne,0
GH000013,Ashanti,59,F,Aucun,Transport,430,1300,24,Excellent,1,1,Bien immobilier,0
GH000014,Western,43,M,Secondaire,Artisanat,430,11000,24,Premier,1,5,Garant,0
GH000015,Ashanti,22,F,Aucun,Agriculture,1300,1400,18,Premier,0,6,Aucune,0
GH000016,Western,41,F,Primaire,Commerce,270,2500,12,Bon,0,1,Épargne,0
GH000017,Western,21,M,Superieur,Artisanat,790,2900,18,Bon,0,1,Épargne,0
GH000018,Western,43,M,Primaire,Restauration,1760,700,24,Excellent,0,3,Garant,0
GH000019,Central,63,F,Primaire,Restauration,440,800,18,Premier,1,7,Bien immobilier,0
GH000020,Northern,49,F,Primaire,Services,370,600,12,Bon,0,6,Aucune,0
GH000021,Volta,57,M,Secondaire,Services,550,800,24,Moyen,1,4,Épargne,0
GH000022,Central,21,F,Primaire,Transport,1710,500,24,Mauvais,1,7,Bien immobilier,0
GH000023,Volta,40,F,Primaire,Artisanat,780,3000,24,Premier,1,6,Épargne,0
GH000024,Volta,52,F,Superieur,Services,430,11500,24,Mauvais,1,5,Épargne,0
GH000025,Ashanti,31,F,Secondaire,Agriculture,980,2100,12,Moyen,0,6,Épargne,0
GH000026,Northern,41,F,Secondaire,Transport,280,500,24,Mauvais,1,7,Garant,0
GH000027,Volta,63,F,Secondaire,Artisanat,1150,1000,18,Mauvais,1,5,Épargne,0
GH000028,Northern,44,F,Primaire,Services,920,1200,6,Bon,1,6,Épargne,0
GH000029,Northern,46,F,Secondaire,Services,520,700,18,Premier,1,7,Épargne,0
GH000030,Greater Accra,61,F,Primaire,Restauration,340,3900,12,Moyen,0,6,Garant,0
GH000031,Ashanti,47,M,Aucun,Commerce,330,3700,12,Bon,0,4,Épargne,0
GH000032,Central,35,M,Primaire,Services,1020,600,36,Bon,1,5,Bien immobilier,0
GH000033,Northern,34,M,Primaire,Agriculture,1780,3500,6,Moyen,1,2,Épargne,0
GH000034,Volta,63,F,Primaire,Artisanat,400,7100,24,Bon,0,2,Épargne,0
GH000035,Northern,22,F,Primaire,Services,960,10000,12,Mauvais,0,1,Aucune,0
GH000036,Volta,56,F,Secondaire,Restauration,200,23800,12,Excellent,0,7,Épargne,0
GH000037,Eastern,26,F,Primaire,Services,420,800,12,Premier,1,6,Épargne,0
GH000038,Northern,40,F,Secondaire,Services,650,23000,18,Bon,1,7,Aucune,0
GH000039,Northern,28,M,Secondaire,Commerce,320,1300,12,Excellent,0,4,Épargne,0
GH000040,Eastern,58,M,Superieur,Restauration,310,1100,36,Mauvais,1,1,Garant,0
GH000041,Ashanti,37,F,Aucun,Transport,390,2400,18,Excellent,0,7,Garant,0
GH000042,Central,23,F,Secondaire,Agriculture,840,1100,18,Mauvais,0,7,Épargne,0
GH000043,Western,44,F,Secondaire,Transport,570,2600,6,Bon,0,3,Épargne,0
GH000044,Central,33,M,Superieur,Pêche,200,600,12,Premier,0,4,Aucune,0
GH000045,Ashanti,28,M,Primaire,Artisanat,200,1500,24,Excellent,0,5,Épargne,0
GH000046,Central,45,F,Primaire,Transport,410,5800,12,Excellent,0,3,Épargne,0
GH000047,Eastern,21,F,Primaire,Commerce,960,1700,6,Premier,1,3,Épargne,0
GH000048,Northern,39,F,Primaire,Agriculture,200,2100,12,Excellent,0,4,Épargne,0
GH000049,Northern,47,F,Secondaire,Services,450,2800,24,Premier,0,1,Épargne,0
GH000050,Western,26,M,Secondaire,Services,440,5200,12,Mauvais,1,2,Bien immobilier,0
GH000051,Ashanti,63,F,Primaire,Agriculture,2020,500,12,Excellent,1,1,Bien immobilier,0
GH000052,Northern,27,M,Primaire,Services,490,3100,18,Bon,1,2,Garant,1
GH000053,Ashanti,54,M,Primaire,Services,900,1400,24,Excellent,0,0,Épargne,0
GH000054,Greater Accra,33,F,Aucun,Pêche,740,2100,6,Bon,1,2,Bien immobilier,0
GH000055,Volta,36,F,Superieur,Pêche,200,4700,12,Bon,0,4,Bien immobilier,0
GH000056,Western,55,F,Superieur,Artisanat,1230,600,6,Bon,0,2,Bien immobilier,0
GH000057,Volta,59,F,Primaire,Transport,790,700,6,Premier,0,0,Épargne,0
GH000058,Ashanti,23,M,Primaire,Artisanat,1000,500,12,Excellent,0,5,Épargne,0
GH000059,Central,21,M,Superieur,Transport,15000,1100,12,Bon,0,5,Bien immobilier,0
GH000060,Central,25,M,Aucun,Transport,200,6000,12,Bon,1,2,Garant,1
GH000061,Central,61,F,Secondaire,Services,2640,1600,12,Excellent,0,1,Bien immobilier,0
GH000062,Central,23,M,Superieur,Agriculture,530,500,12,Moyen,1,2,Bien immobilier,0
GH000063,Ashanti,48,F,Secondaire,Transport,840,1200,24,Bon,1,4,Aucune,1
GH000064,Eastern,37,M,Aucun,Artisanat,640,500,12,Premier,0,7,Épargne,0
GH000065,Western,45,F,Primaire,Artisanat,470,700,12,Moyen,1,4,Bien immobilier,0
GH000066,Central,63,F,Superieur,Pêche,420,2600,12,Bon,0,3,Aucune,0
GH000067,Ashanti,53,F,Aucun,Agriculture,870,600,12,Moyen,0,1,Épargne,0
GH000068,Northern,29,M,Primaire,Restauration,200,4900,18,Mauvais,1,1,Aucune,1
GH000069,Northern,55,F,Secondaire,Restauration,1210,1700,24,Mauvais,0,2,Bien immobilier,0
GH000070,Ashanti,33,F,Secondaire,Commerce,480,2000,12,Bon,0,2,Garant,1
GH000071,Central,50,F,Primaire,Pêche,270,1400,24,Bon,0,7,Bien immobilier,0
GH000072,Greater Accra,34,F,Primaire,Commerce,460,3600,18,Bon,1,4,Aucune,0
GH000073,Ashanti,27,M,Secondaire,Agriculture,1820,3700,12,Bon,0,7,Garant,0
GH000074,Western,33,F,Primaire,Services,430,2400,12,Bon,1,3,Bien immobilier,0
GH000075,Western,42,F,Primaire,Restauration,890,3000,18,Moyen,0,0,Garant,0
GH000076,Greater Accra,59,F,Secondaire,Services,370,1500,36,Excellent,1,2,Épargne,0
GH000077,Northern,40,F,Primaire,Restauration,1220,2900,12,Bon,1,1,Garant,0
GH000078,Northern,35,M,Aucun,Restauration,1150,1300,12,Excellent,1,5,Garant,1
GH000079,Ashanti,64,M,Primaire,Commerce,2920,1800,24,Excellent,1,2,Garant,0
GH000080,Greater Accra,37,M,Primaire,Services,580,1400,12,Bon,0,7,Épargne,0
GH000081,Ashanti,43,F,Secondaire,Artisanat,1140,1200,18,Moyen,1,6,Aucune,0
GH000082,Ashanti,45,M,Secondaire,Commerce,720,1000,6,Premier,1,3,Garant,0
GH000083,Greater Accra,44,F,Secondaire,Services,1880,2800,6,Bon,0,1,Bien immobilier,0
GH000084,Northern,64,F,Secondaire,Restauration,370,5900,12,Bon,0,7,Bien immobilier,0
GH000085,Volta,60,F,Secondaire,Pêche,1210,5200,18,Mauvais,0,5,Garant,0
GH000086,Eastern,48,M,Primaire,Pêche,570,600,6,Excellent,1,5,Garant,0
GH000087,Central,34,M,Primaire,Transport,630,5800,18,Excellent,0,3,Garant,0
GH000088,Central,64,F,Secondaire,Services,720,1400,6,Bon,1,1,Épargne,0
GH000089,Central,20,M,Aucun,Commerce,810,3100,12,Bon,1,2,Épargne,0
GH000090,Greater Accra,44,M,Primaire,Transport,610,800,12,Moyen,0,3,Garant,0
GH000091,Ashanti,26,M,Primaire,Transport,790,2100,18,Premier,1,4,Bien immobilier,0
GH000092,Volta,28,F,Secondaire,Commerce,2350,2400,24,Bon,1,1,Épargne,0
GH000093,Volta,43,M,Primaire,Transport,1460,500,6,Bon,0,3,Garant,0
GH000094,Ashanti,20,M,Secondaire,Agriculture,1330,3100,12,Excellent,1,3,Épargne,0
GH000095,Western,63,M,Primaire,Commerce,460,6100,24,Bon,1,7,Épargne,1
GH000096,Volta,27,M,Superieur,Transport,330,1500,12,Premier,1,0,Épargne,0
GH000097,Ashanti,43,M,Primaire,Transport,1430,6100,12,Bon,0,0,Épargne,0
GH000098,Northern,30,M,Secondaire,Commerce,1340,1500,12,Excellent,0,5,Garant,0
GH000099,Eastern,36,F,Aucun,Restauration,2160,3900,36,Bon,1,2,Garant,0
GH000100,Central,27,M,Primaire,Transport,410,500,24,Bon,1,4,Garant,0
GH000101,Volta,54,F,Superieur,Artisanat,550,15900,6,Bon,0,4,Bien immobilier,1
GH000102,Northern,54,M,Primaire,Restauration,200,6900,18,Bon,1,3,Aucune,0
GH000103,Northern,52,F,Primaire,Artisanat,490,1400,24,Moyen,0,3,Garant,0
GH000104,Volta,24,F,Secondaire,Restauration,1480,500,12,Bon,0,6,Aucune,0
GH000105,Volta,61,F,Aucun,Services,460,2300,12,Moyen,1,5,Aucune,0
GH000106,Eastern,58,F,Secondaire,Restauration,1110,500,12,Mauvais,0,3,Épargne,0
GH000107,Central,60,M,Primaire,Agriculture,570,2700,6,Mauvais,0,1,Aucune,0
GH000108,Volta,47,M,Primaire,Transport,860,2600,18,Excellent,1,2,Épargne,0
GH000109,Greater Accra,26,M,Secondaire,Services,270,800,12,Moyen,1,2,Épargne,0
GH000110,Eastern,28,M,Secondaire,Artisanat,710,5000,12,Moyen,1,0,Bien immobilier,1
GH000111,Northern,27,M,Primaire,Restauration,200,3700,12,Excellent,1,5,Épargne,0
GH000112,Volta,31,F,Secondaire,Restauration,570,4400,18,Mauvais,0,3,Garant,0
GH000113,Ashanti,53,M,Secondaire,Artisanat,200,1800,18,Excellent,0,3,Aucune,0
GH000114,Central,52,M,Secondaire,Services,1750,500,18,Moyen,1,1,Garant,0
GH000115,Western,42,M,Primaire,Agriculture,1240,4400,24,Excellent,0,3,Garant,0
GH000116,Eastern,43,F,Primaire,Artisanat,970,1400,6,Moyen,1,7,Aucune,0
GH000117,Northern,56,F,Primaire,Agriculture,2250,500,18,Excellent,0,3,Garant,0
GH000118,Greater Accra,54,F,Primaire,Services,310,6100,18,Bon,0,7,Bien immobilier,0
GH000119,Northern,63,F,Aucun,Agriculture,2690,12000,12,Excellent,0,2,Garant,0
GH000120,Western,59,M,Primaire,Pêche,1400,1700,6,Bon,0,6,Garant,0
GH000121,Volta,41,F,Secondaire,Agriculture,550,12600,12,Premier,1,3,Garant,0
GH000122,Volta,46,M,Secondaire,Pêche,1650,2000,24,Excellent,0,5,Garant,0
GH000123,Greater Accra,54,F,Primaire,Transport,270,1300,18,Bon,0,7,Bien immobilier,0
GH000124,Central,20,M,Secondaire,Commerce,340,1000,18,Moyen,0,1,Bien immobilier,0
GH000125,Eastern,54,M,Secondaire,Agriculture,410,7900,6,Excellent,0,1,Épargne,1
GH000126,Greater Accra,56,F,Primaire,Artisanat,440,900,36,Excellent,0,4,Épargne,0
GH000127,Western,33,F,Primaire,Pêche,290,3500,12,Excellent,0,4,Garant,0
GH000128,Northern,22,F,Aucun,Services,1770,1100,18,Moyen,1,0,Garant,0
GH000129,Western,20,M,Secondaire,Services,540,1200,24,Premier,1,1,Bien immobilier,0
GH000130,Ashanti,24,F,Primaire,Commerce,880,4600,6,Mauvais,1,5,Épargne,0
GH000131,Greater Accra,45,M,Primaire,Transport,420,1300,18,Premier,1,1,Garant,0
GH000132,Eastern,33,M,Primaire,Commerce,200,1300,6,Bon,0,5,Épargne,0
GH000133,Eastern,58,M,Secondaire,Agriculture,830,5000,6,Premier,1,5,Bien immobilier,0
GH000134,Northern,46,F,Secondaire,Artisanat,200,7600,18,Bon,1,2,Épargne,0
GH000135,Northern,28,F,Primaire,Agriculture,630,3200,12,Bon,0,7,Épargne,0
GH000136,Volta,34,M,Aucun,Restauration,220,1000,12,Bon,0,4,Aucune,0
GH000137,Northern,34,F,Secondaire,Commerce,3260,1100,12,Excellent,0,5,Aucune,0
GH000138,Ashanti,45,M,Superieur,Restauration,1380,1900,12,Mauvais,0,6,Garant,0
GH000139,Western,61,M,Secondaire,Restauration,720,2400,6,Excellent,0,0,Épargne,0
GH000140,Northern,32,F,Superieur,Pêche,1830,700,18,Moyen,1,7,Garant,0
GH000141,Volta,51,F,Aucun,Services,340,3500,6,Bon,1,2,Épargne,0
GH000142,Greater Accra,58,F,Primaire,Restauration,1030,2000,24,Excellent,0,5,Épargne,0
GH000143,Northern,51,F,Secondaire,Commerce,780,500,18,Bon,0,6,Bien immobilier,0
GH000144,Western,23,M,Primaire,Commerce,820,800,12,Bon,0,6,Bien immobilier,0
GH000145,Greater Accra,49,F,Aucun,Artisanat,1840,1100,24,Premier,0,7,Bien immobilier,0
GH000146,Greater Accra,56,F,Primaire,Agriculture,1200,1700,12,Moyen,1,2,Garant,1
GH000147,Greater Accra,42,M,Primaire,Artisanat,840,9900,12,Bon,1,4,Épargne,1
GH000148,Western,58,F,Primaire,Artisanat,200,2200,6,Excellent,0,2,Bien immobilier,0
GH000149,Northern,64,F,Superieur,Services,310,800,12,Bon,0,4,Garant,0
GH000150,Western,34,F,Primaire,Agriculture,600,2200,36,Excellent,1,1,Garant,0
GH000151,Western,62,F,Aucun,Commerce,720,1300,12,Moyen,0,1,Bien immobilier,0
GH000152,Central,48,M,Aucun,Pêche,270,2400,24,Excellent,0,4,Garant,0
GH000153,Volta,55,F,Secondaire,Services,4580,3000,18,Bon,0,5,Garant,0
GH000154,Western,32,M,Secondaire,Restauration,2240,5400,6,Moyen,0,7,Épargne,0
GH000155,Ashanti,51,F,Aucun,Pêche,1080,1800,24,Bon,1,7,Aucune,0
GH000156,Volta,26,F,Primaire,Restauration,700,7900,36,Moyen,1,3,Bien immobilier,0
GH000157,Central,41,M,Secondaire,Agriculture,560,4100,24,Moyen,0,3,Garant,0
GH000158,Greater Accra,47,M,Primaire,Agriculture,310,1000,12,Excellent,0,0,Bien immobilier,0
