id_transaction,date,ville,type_transaction,montant_xof,operateur,genre_client,age_client,zone,statut_compte
TX0004039,2022-11-13,Saint-Louis,Transfert,32700.0,Orange Money,F,21.0,Rural,Actif
TX0003815,2022-11-12,Thiès,Retrait,966200.0,Wave,F,58.0,Rural,Actif
TX0000848,2022-10-02,Kaolack,Retrait,43500.0,Wave,F,56.0,Urbain,Actif
TX0004863,2022-07-03,DIOURBEL,Dépôt,5300.0,Orange Money,M,32.0,Rural,Actif
TX0000079,2022-03-05,Dakar,Retrait,10800.0,Orange Money,F,35.0,Urbain,Actif
TX0002480,2022-05-31,Thiès,Retrait,285800.0,Wave,M,30.0,Urbain,Suspendu
TX0003539,2022-02-04,Dakar,Dépôt,85400.0,Free Money,M,48.0,Periurbain,Actif
TX0002498,2023-06-21,Thiès,Transfert,6100.0,Free Money,M,41.0,Periurbain,Actif
TX0004593,2022-06-20,Dakar,Dépôt,140400.0,Wizall,M,64.0,Periurbain,Actif
TX0004302,2023-02-18,Thiès,Dépôt,25700.0,Free Money,M,43.0,Rural,Actif
TX0000764,2022-01-19,Thiès,Paiement,323900.0,Wave,F,47.0,Urbain,Actif
TX0000033,2023-06-04,Thiès,Dépôt,75300.0,Orange Money,F,41.0,Urbain,Actif
TX0002373,2022-08-24,Dakar,Retrait,141400.0,Free Money,M,61.0,Periurbain,Actif
TX0002970,2022-07-28,Diourbel,Retrait,26300.0,Orange Money,F,61.0,Rural,Actif
TX0001773,2023-06-07,Diourbel,Dépôt,35900.0,Wave,M,43.0,Urbain,Actif
TX0000683,2023-01-01,Diourbel,Transfert,272100.0,Orange Money,M,48.0,Periurbain,Inactif
TX0003779,2023-05-07,Saint-Louis,Paiement,336300.0,Orange Money,M,54.0,Periurbain,Actif
TX0000254,2022-04-03,Thiès,Retrait,223400.0,Free Money,,22.0,Urbain,Actif
TX0002722,2023-03-03,Ziguinchor,Transfert,25200.0,Free Money,F,40.0,Urbain,Actif
TX0003755,2022-04-15,DIOURBEL,Dépôt,11000.0,Free Money,F,38.0,Urbain,Actif
TX0004535,2022-11-18,Kaolack,Paiement,9300.0,Orange Money,M,25.0,Urbain,Actif
