region,village,superficie_ha,rendement_tonne_ha,type_semence,engrais_npk_kg,acces_irrigation,pluviometrie_mm,type_sol,annee,prix_vente_fcfa
Kara,Akplogan,1.82,2.55,OPV,121.0,0,950.0,Ferrugineux,2020,198500.0
Savanes,Dévé,1.16,2.13,OPV,0.0,0,1115.0,Ferrugineux,2022,152900.0
Centrale,Tsévié,0.87,1.93,Traditionnelle,0.0,0,793.0,Hydromorphe,2021,177400.0
Savanes,Tsévié,1.05,1.43,Traditionnelle,0.0,0,1278.0,Hydromorphe,2019,109600.0
Savanes,Akplogan,0.64,1.48,Traditionnelle,137.0,0,805.0,Ferrugineux,2021,141500.0
Plateaux,Dévé,1.05,2.47,Traditionnelle,126.0,0,1232.0,Hydromorphe,2023,257300.0
Centrale,Dévé,0.52,1.78,Traditionnelle,24.0,0,779.0,Hydromorphe,2022,201200.0
Centrale,Akplogan,2.97,2.45,OPV,0.0,0,940.0,Ferrugineux,2021,238900.0
Centrale,Dévé,1.45,2.45,Améliorée,100.0,0,586.0,Ferralitique,2020,226700.0
Savanes,Bassar,9.54,0.8,Traditionnelle,45.0,0,802.0,Hydromorphe,2023,56900.0
Kara,Tsévié,1.04,2.48,Traditionnelle,0.0,1,703.0,Hydromorphe,2023,236100.0
Centrale,Mango,1.56,2.43,Améliorée,40.0,0,924.0,Ferralitique,2021,233400.0
Savanes,Tohoun,1.61,1.53,Traditionnelle,0.0,0,1079.0,Ferralitique,2021,157500.0
Plateaux,Dévé,0.52,3.14,Améliorée,0.0,0,1050.0,Ferralitique,2022,271900.0
Kara,Dévé,5.07,2.9,Améliorée,164.0,1,500.0,Ferrugineux,2019,260600.0
Plateaux,Tohoun,0.58,3.06,OPV,136.0,0,,Ferralitique,2021,236100.0
Kara,Dévé,7.54,2.9,Hybride,81.0,0,953.0,Ferrugineux,2021,196000.0
Savanes,Tohoun,6.07,1.89,OPV,42.0,0,760.0,Vertisol,2020,154100.0
Maritime,Akplogan,2.42,2.95,Hybride,0.0,0,1396.0,Vertisol,2023,224500.0
Kara,Bassar,2.46,2.44,Hybride,69.0,0,932.0,Ferralitique,2019,241300.0
Plateaux,Bassar,3.15,3.12,Hybride,84.0,0,979.0,Ferralitique,2020,277000.0
Savanes,Tsévié,1.72,1.87,Traditionnelle,113.0,1,936.0,Vertisol,2022,165500.0
Kara,Mango,3.1,2.91,OPV,79.0,1,791.0,Ferrugineux,2022,241900.0
Maritime,Dévé,0.61,3.12,Hybride,0.0,0,1466.0,Ferrugineux,2021,175600.0
Maritime,Mango,0.64,2.89,Améliorée,0.0,0,961.0,Ferralitique,2021,326900.0
Centrale,Akplogan,2.03,1.99,Traditionnelle,120.0,0,642.0,Ferralitique,2022,165600.0
Centrale,Bassar,2.49,1.92,OPV,0.0,1,926.0,Ferralitique,2021,172900.0
Plateaux,Akplogan,5.97,3.28,Hybride,72.0,0,1566.0,Vertisol,2019,254300.0
Kara,Akplogan,0.78,3.06,Améliorée,0.0,1,993.0,Hydromorphe,2021,326600.0
Kara,Dévé,4.82,2.96,OPV,0.0,0,1048.0,Ferralitique,2023,286500.0
Centrale,Akplogan,1.09,2.47,OPV,0.0,0,958.0,Ferrugineux,2021,210000.0
Kara,Bassar,1.75,2.21,Traditionnelle,,1,804.0,Hydromorphe,2020,199300.0
Kara,Mango,1.45,2.39,OPV,0.0,0,1051.0,Ferrugineux,2019,274700.0
Maritime,Bassar,1.78,2.21,Traditionnelle,82.0,0,824.0,Hydromorphe,2020,208100.0
Centrale,Dévé,0.91,2.51,Hybride,112.0,0,738.0,Vertisol,2020,233200.0
Savanes,Bassar,2.25,1.42,Traditionnelle,0.0,0,726.0,Hydromorphe,2023,118500.0
Centrale,Tohoun,4.54,2.11,Améliorée,109.0,0,1094.0,Ferrugineux,2019,152600.0
Savanes,Mango,1.96,1.18,Traditionnelle,143.0,0,1070.0,Hydromorphe,2019,109500.0
Maritime,Tohoun,2.19,2.23,Améliorée,131.0,0,1237.0,Vertisol,2019,220300.0
